id,antecedent_name,consequent_name,created_at,status
4,fox,canine,,active
11,big_balls,balls,,active
12,big_breasts,breasts,,active
13,horse,equine,,active
16,zebra,equine,,active
18,multi_breast,breasts,,active
21,midna,twilight_princess,,active
23,moogle,final_fantasy,,active
30,double_dildo,dildo,,active
32,huge_breasts,breasts,,active
36,drow,elf,,active
37,night_elf,elf,,active
38,blood_elf,elf,,active
39,final_fantasy_xi,final_fantasy,,active
41,krystal_(disambiguation),star_fox,,deleted
42,fox_mccloud,star_fox,,active
43,slippy_toad,star_fox,,active
45,cumshot,cum,,active
51,cunnilingus,oral,,active
52,fellatio,oral,,active
53,rimming,oral,,active
55,disembodied_penis,penis,,active
73,bat_wings,wings,,deleted
74,lepidopteran_wings,wings,,active
75,spear,polearm,,active
77,halberd,polearm,,active
82,udders,teats,,active
83,breast_fondling,fondling,,active
84,final_fantasy_ix,final_fantasy,,active
85,final_fantasy_vii,final_fantasy,,active
86,final_fantasy_x,final_fantasy,,active
87,final_fantasy_xii,final_fantasy,,active
88,final_fantasy_viii,final_fantasy,,active
89,anal_beads,sex_toy,,active
93,beach,seaside,,deleted
99,anal_penetration,anal,,active
100,anal_masturbation,anal,,active
102,reptile,scalie,,active
103,rabbit,leporid,,active
110,bodysuit,skinsuit,,active
112,twincest,incest_(lore),,deleted
113,twins_(lore),sibling,,deleted
114,antlers,horn,,active
127,translucent_clothing,translucent,,active
131,twincest,twins,,deleted
140,pony,horse,,active
142,dildo,sex_toy,,active
143,anal_penetration,penetration,,active
148,drooling,saliva,,active
153,kimono,japanese_clothing,,active
154,yukata,japanese_clothing,,active
159,red_xiii,final_fantasy_vii,,active
163,spread_butt,butt,,active
164,king_cheetah,cheetah,,active
165,zerg,starcraft,,active
166,protoss,starcraft,,active
167,panties,underwear,,active
170,neko_musume,gegege_no_kitaro,,active
171,medama-oyaji,gegege_no_kitaro,,active
172,nezumi_otoko,gegege_no_kitaro,,active
176,natani,twokinds,,active
178,enlarged_clitoris,clitoris,,active
193,nipple_piercing,piercing,,active
194,ear_piercing,piercing,,active
195,navel_piercing,piercing,,active
198,industrial_piercing,ear_piercing,,active
200,frenum_ladder,frenum_piercing,,active
201,frenum_piercing,penis_piercing,,active
209,rimming,anal,,active
211,urethral_fingering,urethral,,active
212,urethral_penetration,urethral,,active
213,penis_in_penis,urethral_penetration,,active
214,pouch_zipper,pouch_(anatomy),,active
215,sheath_piercing,sheath,,active
220,nipple_piercing,nipples,,active
226,hidden_vibrator,vibrator,,active
227,fixed_vibrator,vibrator,,active
228,anal_fingering,anal,,active
229,anal_fingering,fingering,,active
230,anal_fisting,anal,,deleted
231,anal_fisting,fisting,,active
238,dildo_sitting,dildo,,active
239,fixed_dildo,dildo,,active
248,herm,intersex,,active
250,gecko,lizard,,active
252,skink,lizard,,active
253,monitor_lizard,lizard,,active
254,frilled_lizard,agamid,,active
256,komodo_dragon,monitor_lizard,,active
257,dragon_quest_iv,dragon_quest,,active
274,prince,royalty,,active
275,princess,royalty,,active
276,queen,royalty,,active
277,king,royalty,,active
279,plushophilia,plushie,,active
